Aula;Matéria;Assunto;Status;Dificuldade
0;Português;Ortografia oficial. Acentuação gráfica.;Não Iniciado;⭐
1;Português;Classes de palavras I: substantivo adjetivo advérbios artigo numeral interjeição.;Em progresso;⭐
2;Português;Classes de palavras II: preposição e conjunção.;Concluído;⭐
3;Português;Classes de palavras III: pronomes. Colocação pronominal;Não Iniciado;⭐
4;Português;Classes de palavras IV: verbos;Não Iniciado;⭐
5;Português;Correlação e vozes verbais;Não Iniciado;⭐
6;Português;Estrutura e formação das palavras;Não Iniciado;⭐
7;Português;Sintaxe da oração: termos da oração;Não Iniciado;⭐
8;Português;Relações de coordenação e subordinação;Não Iniciado;⭐
9;Português;Pontuação.;Não Iniciado;⭐
10;Português;Concordância Verbal e Nominal.;Não Iniciado;⭐
11;Português;Regência verbal e nominal. Crase.;Não Iniciado;⭐
12;Português;Coesão e coerência;Não Iniciado;⭐
13;Português;Semântica. Significação das palavras. Figuras de linguagem;Não Iniciado;⭐
14;Português;Compreensão e interpretação de textos. Tipologia textual.;Não Iniciado;⭐
15;Português;Variação linguística;Não Iniciado;⭐
16;Português;Resumo;Não Iniciado;⭐
0;RLM;"Estruturas Lógicas (Proposições; Conectivos; Tabelas-verdade)";Não Iniciado;⭐⭐
1;RLM;Equivalências Lógicas (Leis de Morgan);Não Iniciado;⭐⭐
2;RLM;Diagramas Lógicos;Não Iniciado;⭐⭐
3;RLM;Lógica de Primeira Ordem;Não Iniciado;⭐⭐
4;RLM;Argumentação Lógica;Não Iniciado;⭐⭐
5;RLM;Raciocínio Crítico Parte I;Não Iniciado;⭐⭐
6;RLM;Raciocínio Crítico Parte II;Não Iniciado;⭐⭐
7;RLM;"Verdades e Mentiras; Associação Lógica";Não Iniciado;⭐⭐
8;RLM;Orientação Espacial e Temporal;Não Iniciado;⭐⭐
9;RLM;Operações com números inteiros, fracionários e decimais;Não Iniciado;⭐⭐
10;RLM;MMC e MDC e Divisibilidade;Não Iniciado;⭐⭐
11;RLM;Sistema Métrico;Não Iniciado;⭐⭐
12;RLM;Conjuntos: Classificação, operações e problemas;Não Iniciado;⭐⭐
13;RLM;Médias: Aritmética, Geométrica e Harmônica;Não Iniciado;⭐⭐
14;RLM;Razão e Proporção;Não Iniciado;⭐⭐
15;RLM;Regra de Três Simples e Composta;Não Iniciado;⭐⭐
16;RLM;Porcentagem;Não Iniciado;⭐⭐
17;RLM;Equação do 1º e do 2º grau;Não Iniciado;⭐⭐
18;RLM;Resolução de Problemas Aritméticos;Não Iniciado;⭐⭐
19;RLM;Funções;Não Iniciado;⭐⭐
20;RLM;Logaritmos;Não Iniciado;⭐⭐
21;RLM;Matrizes, Determinantes e Sistemas Lineares;Não Iniciado;⭐⭐
22;RLM;Sequências Numéricas;Não Iniciado;⭐⭐
23;RLM;Progressão Aritmética e Geométrica;Não Iniciado;⭐⭐
24;RLM;Geometria Básica;Não Iniciado;⭐⭐
25;RLM;Trigonometria;Não Iniciado;⭐⭐
26;RLM;Juros Simples;Não Iniciado;⭐⭐
27;RLM;Juros Compostos;Não Iniciado;⭐⭐
28;RLM;Descontos;Não Iniciado;⭐⭐
29;RLM;Inflação, juros reais e aparentes;Não Iniciado;⭐⭐
30;RLM;Equivalência de capitais;Não Iniciado;⭐⭐
31;RLM;Sistemas de amortização;Não Iniciado;⭐⭐
32;RLM;Análise de Investimentos;Não Iniciado;⭐⭐
0;TI;Análise de Informações - Pirâmide DIKW. Metadados.;Não Iniciado;⭐⭐⭐
1;TI;Conceitos Básicos de Bancos de Dados;Não Iniciado;⭐⭐⭐
2;TI;Modelagem Conceitual;Não Iniciado;⭐⭐⭐
3;TI;Modelagem Lógica;Não Iniciado;⭐⭐⭐
4;TI;Normalização;Não Iniciado;⭐⭐⭐
5;TI;Noções de SQL;Não Iniciado;⭐⭐⭐
6;TI;Data Warehouse (DW) e Business Intelligence (BI);Não Iniciado;⭐⭐⭐
7;TI;Modelagem Multidimensional;Não Iniciado;⭐⭐⭐
8;TI;Mineração de Dados (Data Mining);Não Iniciado;⭐⭐⭐
9;TI;Mineração de Dados (Algoritmos);Não Iniciado;⭐⭐⭐
10;TI;Noções de Big Data;Não Iniciado;⭐⭐⭐
11;TI;Soluções de Big Data;Não Iniciado;⭐⭐⭐
12;TI;Ferramentas de Análise (PowerBI, QlikView...);Não Iniciado;⭐⭐⭐
13;TI;Machine Learning;Não Iniciado;⭐⭐⭐
14;TI;Processamento de Linguagem Natural (PLN);Não Iniciado;⭐⭐⭐
15;TI;Análise Exploratória de Dados;Não Iniciado;⭐⭐⭐
16;TI;Programação - Python;Não Iniciado;⭐⭐⭐
17;TI;Programação - Bibliotecas de Python;Não Iniciado;⭐⭐⭐
18;TI;Programação - R;Não Iniciado;⭐⭐⭐
19;TI;BPM - Processos de Negócio;Não Iniciado;⭐⭐⭐
20;TI;Notação BPMN;Não Iniciado;⭐⭐⭐
21;TI;PMBOK 7;Não Iniciado;⭐⭐⭐
22;TI;COBIT 2019;Não Iniciado;⭐⭐⭐
23;TI;ITIL 4;Não Iniciado;⭐⭐⭐
24;TI;CMMI 2.0;Não Iniciado;⭐⭐⭐
25;TI;MPS.BR 2021;Não Iniciado;⭐⭐⭐
26;TI;PETI, SWOT, PDCA e BSC;Não Iniciado;⭐⭐⭐
27;TI;Lei Geral de Proteção de Dados (LGPD);Não Iniciado;⭐⭐⭐
28;TI;ISO/IEC 27001;Não Iniciado;⭐⭐⭐
29;TI;ISO/IEC 27002;Não Iniciado;⭐⭐⭐
30;TI;Computação em Nuvem;Não Iniciado;⭐⭐⭐
31;TI;NFE/EFD - Parte 1;Não Iniciado;⭐⭐⭐
32;TI;NFE/EFD - Parte 2;Não Iniciado;⭐⭐⭐
33;TI;Engenharia de Software - Metodologias I;Não Iniciado;⭐⭐⭐
34;TI;Engenharia de Software - Metodologias II;Não Iniciado;⭐⭐⭐
35;TI;Metodologias Ágeis;Não Iniciado;⭐⭐⭐
36;TI;Scrum;Não Iniciado;⭐⭐⭐
37;TI;XP;Não Iniciado;⭐⭐⭐
38;TI;Engenharia de Requisitos;Não Iniciado;⭐⭐⭐
39;TI;UML;Não Iniciado;⭐⭐⭐
40;TI;Testes de Software;Não Iniciado;⭐⭐⭐
41;TI;Formatos de Intercâmbio (CSV, XML, JSON);Não Iniciado;⭐⭐⭐
42;TI;Arquitetura Web e Hexagonal;Não Iniciado;⭐⭐⭐
43;TI;Web Services;Não Iniciado;⭐⭐⭐
44;TI;Padrões de Projeto;Não Iniciado;⭐⭐⭐
45;TI;Análise de Pontos de Função (APF);Não Iniciado;⭐⭐⭐
46;TI;Portais Corporativos;Não Iniciado;⭐⭐⭐
47;TI;GED - Gestão Eletrônica de Documentos;Não Iniciado;⭐⭐⭐
48;TI;Qualidade de Dados;Não Iniciado;⭐⭐⭐
0;Dir. Constitucional;Conceito, Aplicabilidade e Princípios Fundamentais;Não Iniciado;⭐
1;Dir. Constitucional;Aplicação no Tempo e Interpretação;Não Iniciado;⭐
2;Dir. Constitucional;Teoria Geral dos Direitos Fundamentais;Não Iniciado;⭐
3;Dir. Constitucional;Direitos e Deveres Individuais (Parte I);Não Iniciado;⭐
4;Dir. Constitucional;Direitos e Deveres Individuais (Parte II);Não Iniciado;⭐
5;Dir. Constitucional;Direitos Sociais;Não Iniciado;⭐
6;Dir. Constitucional;Nacionalidade;Não Iniciado;⭐
7;Dir. Constitucional;Direitos Políticos;Não Iniciado;⭐
8;Dir. Constitucional;Partidos Políticos;Não Iniciado;⭐
9;Dir. Constitucional;Organização do Estado;Não Iniciado;⭐
10;Dir. Constitucional;Administração Pública;Não Iniciado;⭐
11;Dir. Constitucional;Poder Legislativo;Não Iniciado;⭐
12;Dir. Constitucional;Processo Legislativo e Reforma;Não Iniciado;⭐
13;Dir. Constitucional;Poder Executivo;Não Iniciado;⭐
14;Dir. Constitucional;Poder Judiciário;Não Iniciado;⭐
15;Dir. Constitucional;Funções Essenciais à Justiça;Não Iniciado;⭐
16;Dir. Constitucional;Sistema Tributário Nacional;Não Iniciado;⭐
17;Dir. Constitucional;Orçamento e Finanças;Não Iniciado;⭐
18;Dir. Constitucional;Ordem Econômica e Financeira;Não Iniciado;⭐
19;Dir. Constitucional;Ordem Social;Não Iniciado;⭐
20;Dir. Constitucional;Disposições Gerais e Transitórias;Não Iniciado;⭐
21;Dir. Constitucional;Controle de Constitucionalidade;Não Iniciado;⭐⭐⭐
